seed,mcs,species,volume,ncells,mel_site,mel_parcel
43,20,1,697,6,0.394451,0.394178
43,20,2,698,6,0.007641,0.007700
43,20,3,696,6,0.517507,0.517248
43,20,4,697,6,0.011483,0.011499
43,20,5,699,6,0.321011,0.320803
43,20,6,702,6,0.008632,0.008610
43,20,7,701,6,0.045522,0.045702
45,20,1,701,6,0.419474,0.419235
45,20,2,698,6,0.012962,0.012975
45,20,3,698,6,0.542665,0.542770
45,20,4,690,6,0.011410,0.011252
45,20,5,694,6,0.299118,0.298886
45,20,6,697,6,0.008247,0.008289
45,20,7,697,6,0.013386,0.013263
49,20,1,699,6,0.419023,0.418779
49,20,2,699,6,0.024522,0.024368
49,20,3,699,6,0.578361,0.578144
49,20,4,699,6,0.027308,0.027111
49,20,5,700,6,0.263236,0.262625
49,20,6,695,6,0.026910,0.026962
49,20,7,695,6,0.018813,0.018653
47,20,1,695,6,0.355869,0.355828
47,20,2,697,6,0.021989,0.021922
47,20,3,695,6,0.476777,0.476379
47,20,4,697,6,0.017241,0.017215
47,20,5,696,6,0.301983,0.302152
47,20,6,695,6,0.010219,0.010233
47,20,7,698,6,0.011395,0.011374
50,20,1,702,6,0.370165,0.370000
50,20,2,702,6,0.040753,0.040603
50,20,3,694,6,0.540389,0.539876
50,20,4,697,6,0.015727,0.015666
50,20,5,701,6,0.259606,0.259367
50,20,6,698,6,0.006763,0.006779
50,20,7,698,6,0.017377,0.017355
44,20,1,704,6,0.472866,0.473193
44,20,2,702,6,0.051335,0.051304
44,20,3,703,6,0.576224,0.576056
44,20,4,701,6,0.024531,0.024562
44,20,5,696,6,0.227291,0.227341
44,20,6,697,6,0.008938,0.008957
44,20,7,700,6,0.035104,0.035103
51,20,1,697,6,0.399969,0.400041
51,20,2,700,6,0.022273,0.022392
51,20,3,702,6,0.534383,0.533910
51,20,4,694,6,0.023516,0.023283
51,20,5,701,6,0.266796,0.266354
51,20,6,694,6,0.027022,0.027021
51,20,7,695,6,0.023221,0.023138
46,20,1,697,6,0.443713,0.443343
46,20,2,698,6,0.031950,0.031956
46,20,3,695,6,0.592371,0.591393
46,20,4,695,6,0.016918,0.016665
46,20,5,693,6,0.237628,0.237380
46,20,6,695,6,0.023177,0.023189
46,20,7,695,6,0.024329,0.024382
42,20,1,698,6,0.341605,0.341875
42,20,2,700,6,0.036359,0.036194
42,20,3,696,6,0.532871,0.532826
42,20,4,694,6,0.030778,0.030865
42,20,5,697,6,0.272993,0.273071
42,20,6,691,6,0.009813,0.009787
42,20,7,694,6,0.016177,0.016022
45,40,1,695,6,0.680808,0.680649
45,40,2,697,6,0.043910,0.043856
45,40,3,699,6,0.932132,0.932027
45,40,4,690,6,0.034959,0.034819
45,40,5,697,6,0.517521,0.517497
45,40,6,701,6,0.025997,0.026067
45,40,7,698,6,0.041065,0.040937
51,40,1,698,6,0.676091,0.675802
51,40,2,699,6,0.062340,0.062322
51,40,3,698,6,0.898236,0.897477
51,40,4,696,6,0.056075,0.055540
51,40,5,695,6,0.484762,0.484504
51,40,6,698,6,0.064350,0.064342
51,40,7,695,6,0.073736,0.073631
49,40,1,698,6,0.714361,0.713617
49,40,2,700,6,0.066568,0.066670
49,40,3,700,6,0.970224,0.970268
49,40,4,697,6,0.076187,0.075661
49,40,5,700,6,0.455301,0.454774
49,40,6,690,6,0.067175,0.066997
49,40,7,696,6,0.062168,0.061759
47,40,1,696,6,0.612007,0.612391
47,40,2,699,6,0.063603,0.063699
47,40,3,697,6,0.801397,0.800938
47,40,4,697,6,0.040895,0.040816
47,40,5,698,6,0.544984,0.544726
47,40,6,698,6,0.026599,0.026626
47,40,7,697,6,0.035370,0.035350
48,20,1,701,6,0.422678,0.422394
48,20,2,696,6,0.038005,0.037988
48,20,3,702,6,0.663187,0.662399
48,20,4,696,6,0.025565,0.025560
48,20,5,698,6,0.252767,0.252649
48,20,6,695,6,0.011274,0.011265
48,20,7,698,6,0.030378,0.030284
50,40,1,700,6,0.619566,0.619434
50,40,2,703,6,0.107174,0.107093
50,40,3,698,6,0.874733,0.874218
50,40,4,697,6,0.042810,0.042377
50,40,5,701,6,0.461540,0.461208
50,40,6,698,6,0.024834,0.024814
50,40,7,700,6,0.045912,0.045716
43,40,1,694,6,0.646838,0.646023
43,40,2,699,6,0.026888,0.026731
43,40,3,696,6,0.869084,0.868829
43,40,4,698,6,0.036374,0.036477
43,40,5,700,6,0.560533,0.560592
43,40,6,700,6,0.025186,0.025185
43,40,7,700,6,0.112968,0.113149
46,40,1,697,6,0.774777,0.774071
46,40,2,696,6,0.081471,0.081471
46,40,3,697,6,0.982718,0.982283
46,40,4,693,6,0.047233,0.047047
46,40,5,696,6,0.400758,0.400356
46,40,6,698,6,0.076734,0.076621
46,40,7,696,6,0.072901,0.072875
